trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
280,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,18.46943844466433,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
281,False,"{'a': 0.5, 'e': 0.24536705645292634}",20,16,9.3244453557194,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,3,28.32110671228393,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.24292561344874244}",25,1,15.188038968636448,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,6,14.650804792170643,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.24050846320834213}",20,11,3.3975657961389185,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,17,16.23205034729458,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.23811536401468703}",35,22,-30.8859787433101,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
288,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,17,16.337644254676327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.23574607655586352}",25,8,23.408102788135533,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.23457028809379765}",35,13,28.761220476238798,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.23340036390115132}",20,12,2.199483395568797,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,0,-5.484238654654968,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.23107799147733019}",20,3,15.93249600837449,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,17,11.038819896332454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.22877872704522242}",20,6,-49.271241465295766,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
296,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,6,12.29410485785234,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.22650234067646874}",30,0,-11.144778622568325,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
298,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,14,-11.124077169283904,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.22424860473053532}",25,20,7.745955611427158,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,3,1.8134615535712049,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.22201729383194937}",25,13,-21.79952252132834,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
302,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,6,9.079683533094364,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.21980818484776168}",30,8,17.40657403626901,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,14,-0.6585343261612473,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.21762105686523284}",25,14,7.032801777180518,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,16,26.72737749312692,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
